Player,Pos,Squad,Age,Min,,,,
Mikkel Kirkeskov,DF,Holstein Kiel,31.72054795,1847,31,055,0.150684932,31.15068493
David Kinsombi,MF,Sandhausen,27.45205479,1992,27,205,0.561643836,27.56164384
Christian Kinsombi,MF,Sandhausen,23.75342466,1953,23,342,0.936986301,23.9369863
Niko Kijewski,DF,Braunschweig,27.16164384,772,27,164,0.449315068,27.44931507
Sebastian Kerk,MF,Hannover 96,29.10684932,526,29,685,1.876712329,30.87671233
Scott Kennedy,DF,Jahn R'burg,26.15342466,1099,26,342,0.936986301,26.9369863
Tobias Kempe,MF,Darmstadt 98,33.91232877,1914,33,233,0.638356164,33.63835616
Thomas Keller,DF,Heidenheim,23.80547945,29,23,548,1.501369863,24.50136986
Bryang Kayo,MF,Nürnberg,20.83013699,43,20,014,0.038356164,20.03835616
Mikkel Kaufmann,FW,Karlsruher,22.39178082,1550,22,178,0.487671233,22.48767123
Fabio Kaufmann,MF,Braunschweig,30.71232877,1836,30,233,0.638356164,30.63835616
Noah Katterbach,DF,Hamburger SV,22.11780822,531,22,781,2.139726027,24.13972603
Florian Kastenmeier,GK,Düsseldorf,25.90958904,2970,25,959,2.62739726,27.62739726
Emir Karic,MF,Darmstadt 98,25.96164384,1544,25,164,0.449315068,25.44931507
Michał Karbownik,DF,Düsseldorf,22.20273973,1772,22,274,0.750684932,22.75068493
Stefanos Kapino,GK,Arminia,29.1890411,450,29,904,2.476712329,31.47671233
Benjamin Kanuric,MF,Arminia,20.24383562,239,20,384,1.052054795,21.05205479
Julian Justvan,MF,Paderborn 07,25.14794521,2665,25,795,2.178082192,27.17808219
Sebastian Jung,DF,Karlsruher,32.9260274,1579,32,603,1.652054795,33.65205479
Gideon Jung,DF,Greuther Fürth,28.70136986,1037,28,137,0.375342466,28.37534247
Marco John,MF,Greuther Fürth,21.14794521,1985,21,795,2.178082192,23.17808219
Jermain,FW,Nürnberg,20.16712329,100,20,712,1.950684932,21.95068493
Leon Jensen,MF,Karlsruher,26.01917808,774,26,918,2.515068493,28.51506849
Bakery Jatta,FW,Hamburger SV,24.96986301,1796,24,986,2.701369863,26.70136986
Kilian Jakob,DF,Karlsruher,25.33150685,56,25,151,0.41369863,25.41369863
Frederik Jäkel,DF,Arminia,22.21917808,1467,22,918,2.515068493,24.51506849
Emmanuel Iyoha,MF,Düsseldorf,25.62191781,1793,25,192,0.526027397,25.5260274
Gian-Luca Itter,DF,Greuther Fürth,24.38630137,1304,24,863,2.364383562,26.36438356
Tatsuya Ito,FW,Magdeburg,25.91506849,1147,25,507,1.389041096,26.3890411
Thomas Isherwood,DF,Darmstadt 98,25.32328767,878,25,329,0.901369863,25.90136986
Jackson Irvine,MF,St. Pauli,30.21917808,2796,30,918,2.515068493,32.51506849
Svante Ingelsson,MF,Hansa Rostock,24.94794521,1632,24,795,2.178082192,26.17808219
Burak İnce,MF,Arminia,19.34520548,39,19,521,1.42739726,20.42739726
